id,title,authors_or_org,year,venue_or_source,type,domain,method_keywords,relevance_to_v2,occupancy_risk,source_url,verified_date
L01,WorldCupBench: 11 frontier LLMs predicted the entire 2026 World Cup,dckthulhu (GitHub),2026,GitHub artifact,基准/行业项目,足球预测,frozen ex-ante;Brier;bracket points;leaderboard,高,"占位""冻结赛前+多LLM概率+Brier""框架；但2026-06-12后停更leaderboard为空（auto-update最后运行06-12）赛后总结算未发布",https://github.com/dckthulhu/WorldCupBench,2026-07-21
L02,worldcup-predictor-2026: Claude vs Gemini vs OpenAI 3-arm experiment,Willian Pinho (GitHub),2026,GitHub artifact,行业项目,足球预测,3-arm web/baseline/enriched;Brier;raw outputs;standardized context,高,"占""同prompt多臂对照+Brier""设计；最后提交2026-06-30（knockout web arm完成）赛后总评未发布",https://github.com/willianpinho/worldcup-predictor-2026,2026-07-21
L03,AI World Cup: reproducible benchmark for free LLMs on WC2026,974103107 (GitHub),2026,GitHub artifact,行业项目,足球预测,standardized prompts;manual responses;automated scoring;leaderboard,中,统一prompt+leaderboard占位；2026-06-11后停更,https://github.com/974103107/ai-world-cup,2026-07-21
L04,Forecasting the FIFA World Cup 2026 with Large Language Models: A Benchmark of Reasoning Web-Augmented Agentic and Open-Weight AI Systems,Hartvég et al.,2026,Preprints.org 202607.0719 v1,论文(预印本),足球预测,reasoning on/off;web augmentation;agentic;structural validity SVS;hallucination rate THR,高,"占标题与三层任务benchmark framing；引入SVS/THR协议类指标；非同行评审；赛后评估为其future work（v1发布时赛事未结束）",https://www.preprints.org/manuscript/202607.0719,2026-07-21
L05,Predicting the Pitch or Repeating the Public? Large Language Models and Sports Consensus Bias in the FIFA World Cup 2026,AlDahoul; Abdul Karim; Tan,2026,SSRN 6900538,论文(预印本),足球预测,consensus bias;market echo;LLM vs public odds,高,直接占""LLM是否复述市场共识""主题（与v1.3 H4同形最近竞品）,https://doi.org/10.2139/ssrn.6900538,2026-07-21
L06,How can you improve the predictive power of LLMs in sports? (ModelBall working paper),Geoff Gibbins / ModelBall,2026,author-hosted PDF,行业项目,足球预测,overconfidence;bias-derived shrinkage;Brier improvement 4.6-7.3%;4 frontier models,高,占""首次发现LLM足球预测系统性过度自信""；无独立同行评审；n=4模型的r=0.997不足为定论,https://modelball.ai/papers/improving-llm-predictions-2026-04-27.pdf,2026-07-21
L07,LLM SoccerArena: live leaderboard for AI World Cup prediction,LMU Munich + U Cologne + U Paderborn (Feuerriegel; Weinmann et al.),2026,llm-soccerarena.com + 大学新闻,行业项目(学术),足球预测,live leaderboard;dynamic real results;web access condition,高,机构化学术live benchmark媒体曝光高；赛后论文发表为潜在高威胁,https://www.lmu.de/en/newsroom/news-overview/news/fifa-world-cup-how-well-can-ai-predict-sports-results-675684e5.html,2026-07-21
L08,Predicting the 2026 FIFA World Cup with Sufficient Dimension Reduction of Elo Rating Histories,Rezaei; Samadi,2026,arXiv:2606.24171,论文(预印本),足球预测,Elo;sufficient dimension reduction;information-barrier backtest;2018/2022 128场,中,统计模型回测路线不占ex-ante冻结叙事；可作v2 §2.1新引,https://arxiv.org/abs/2606.24171,2026-07-21
L09,The Open International Soccer Database for Machine Learning,Dubitzky; Lopes; Davis; Berrar,2019,Machine Learning 108:9-28,论文,足球预测,Soccer Prediction Challenge;RPS;ex-ante submission,中,经典占位：首个要求赛前提交未来比赛概率的公开挑战（v1.3未引建议补）,https://doi.org/10.1007/s10994-018-5726-0,2026-07-21
L10,Machine Learning for Soccer Match Result Prediction (survey),Bunker; Yeung; Fujii,2024,arXiv:2403.07669,论文(预印本),足球预测,survey;Brier;RPS;accuracy,中,综述确认Brier/RPS为事实标准（v1.3未引建议补）,https://arxiv.org/abs/2403.07669,2026-07-21
L11,world-cup-2026-prediction-model (The Open Model),Hicruben (GitHub),2026,GitHub artifact,行业项目,足球预测,Elo;Dixon-Coles;Monte Carlo;title odds,低,开源统计模型2026-07-19仍活跃(81 stars)；非LLM竞品,https://github.com/Hicruben/world-cup-2026-prediction-model,2026-07-21
L12,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,Karger; Bastani; Yueh-Han; Jacobs; Halawi; Zhang; Tetlock,2025,ICLR 2025 (arXiv:2409.19839),基准,LLM预测,dynamic contamination-free;Brier;superforecaster comparison;1000 questions,高,通用live forecasting benchmark占位；2025排名方法学更新+2026推出Brier index,https://arxiv.org/abs/2409.19839,2026-07-21
L13,LLM-as-a-Prophet: Understanding Predictive Intelligence with Prophet Arena,Yang et al.,2025,ICLR 2026 (arXiv:2510.17638 v2 2025-12-21),基准,LLM预测,live tasks;Brier;ECE;market-relative performance;pipeline decomposition,高,v1.3已引(2025版)需更新至ICLR 2026版；占""live+市场相对表现""叙事,https://arxiv.org/abs/2510.17638,2026-07-21
L14,Approaching Human-Level Forecasting with Language Models,Halawi; Zhang; Yueh-Han; Steinhardt,2024,NeurIPS 2024 (arXiv:2402.18563),论文,LLM预测,retrieval;fine-tuning;ensemble;calibration;Brier,高,v1.3已引——基线锚点,https://arxiv.org/abs/2402.18563,2026-07-21
L15,Hindcast: Replaying Prediction Markets to Evaluate LLM Forecasters,Ye et al.,2026,arXiv:2607.14051,基准(预印本),预测市场,replay historical markets;retrieval snapshots;no evaluation delay,中,2026-07-15新发；占""市场replay评估LLM""新方向,https://arxiv.org/abs/2607.14051,2026-07-21
L16,PolyBench: Benchmarking LLM Forecasting and Trading Capabilities on Live Prediction Market Data,Cheng et al.,2026,arXiv:2604.14199,基准(预印本),预测市场,live market data;forecasting+trading,中,预测市场live benchmark拥挤信号,https://arxiv.org/abs/2604.14199,2026-07-21
L17,FutureSim: Replaying World Events to Evaluate Adaptive Agents,Goel et al.,2026,arXiv:2605.15188,基准(预印本),LLM预测,replay world events;adaptive agents,低,replay评估范式同类,https://arxiv.org/abs/2605.15188,2026-07-21
L18,Automating Forecasting Question Generation and Resolution for AI Evaluation,Bosse,2026,arXiv:2601.22444 v2,论文(预印本),LLM预测,automated question generation;resolution;Brier 0.134 Gemini 3 Pro,中,占""自动结算+Brier""管线；单账本无crosswalk,https://arxiv.org/abs/2601.22444,2026-07-21
L19,AIA Forecaster: Technical Report,Alur et al.,2025,arXiv:2511.07678,论文(预印本),LLM预测,agentic search;supervisor reconciliation;statistical calibration;LLM+market ensemble,高,"首个可验证专家级LLM forecasting系统；""supervisor reconciliation""与v2结算管线同形须disambiguate",https://arxiv.org/abs/2511.07678,2026-07-21
L20,Training LLMs to Predict World Events (Mantic guest post),Jeen; Aitchison; Mantic / Thinking Machines Lab,2026,thinkingmachines.ai news 2026-03,行业项目,LLM预测,RL training;Brier reward;forecasting-specialized model,中,工业界RL校准训练路线；引ForecastBench对比,https://thinkingmachines.ai/news/training-llms-to-predict-world-events/,2026-07-21
L21,Global Merger-Arbitrage Forecasting with Language Models,Jajal et al.,2026,ICML 2026 (arXiv:2607.09921),论文,LLM预测,hindsight-guided reasoning traces;expert-guided context;Brier beats market by 24%,中,"ICML 2026已接收；""LLM超越市场校准概率""主张须作v2对照",https://arxiv.org/abs/2607.09921,2026-07-21
L22,Wisdom of the Silicon Crowd: LLM Ensemble Prediction Capabilities Rival Human Crowd Accuracy,Schoenegger et al.,2024,arXiv:2402.19379 v6 (+PMC期刊版),论文,LLM预测,LLM ensemble aggregation;wisdom of crowds;acquiescence effect,高,与P4(kimi群体信号)最直接先验；v1.3未引必须补,https://arxiv.org/abs/2402.19379,2026-07-21
L23,ConfTuner: Training Large Language Models to Express Their Confidence Verbally,Wang et al.,2025,NeurIPS 2025 poster,论文,校准方法,verbalized confidence;fine-tuning;generalize to black-box GPT-4o,中,校准训练方法线；v2 §2.5可补,https://neurips.cc/virtual/2025/poster/117676,2026-07-21
L24,ADVICE: Answer-Dependent Verbalized Confidence Estimation,Seo et al.,2025,arXiv:2510.10913 v3 2026-05-01,论文(预印本),校准方法,answer-dependent confidence;verbalized calibration,低,verbalized confidence改进线,https://arxiv.org/abs/2510.10913,2026-07-21
