team_slug,canonical_team,zh_name,confederation,group,card_status,has_kimi_data,green_source_count,yellow_source_count,red_source_count,coverage_status,gap_level,gap_description,recommended_source_action,excluded_from_wc
algeria,Algeria,阿尔及利亚,CAF,,thin-slice,True,0,0,0,thin,critical,无任何来源；path card 为薄切片占位,补充 FIFA 排名、阵容名单、近期赛果等 Green Source；建议升级为 deep-description,False
argentina,Argentina,阿根廷,CONMEBOL,B,deep-description,True,1,1,1,sufficient,high,无实质性 Green Source（仅 generic label ['public-football-knowledge']），实际依赖 Yellow/Red,补充 FIFA 官方排名、近期大赛赛果、阵容名单等 Green Source,False
australia,Australia,澳大利亚,AFC,I,deep-description,True,1,1,1,partial,high,无实质性 Green Source（仅 generic label ['public-football-knowledge']），实际依赖 Yellow/Red,补充 FIFA 官方排名、近期大赛赛果、阵容名单等 Green Source,False
austria,Austria,奥地利,UEFA,C,thin-slice,True,0,0,0,thin,critical,无任何来源；path card 为薄切片占位,补充 FIFA 排名、阵容名单、近期赛果等 Green Source；建议升级为 deep-description,False
belgium,Belgium,比利时,UEFA,I,deep-description,True,1,1,1,partial,high,无实质性 Green Source（仅 generic label ['public-football-knowledge']），实际依赖 Yellow/Red,补充 FIFA 官方排名、近期大赛赛果、阵容名单等 Green Source,False
brazil,Brazil,巴西,CONMEBOL,D,deep-description,True,1,1,1,sufficient,high,无实质性 Green Source（仅 generic label ['public-football-knowledge']），实际依赖 Yellow/Red,补充 FIFA 官方排名、近期大赛赛果、阵容名单等 Green Source,False
cameroon,Cameroon,喀麦隆,CAF,L,thin-slice,True,0,0,0,thin,critical,无任何来源；path card 为薄切片占位,补充 FIFA 排名、阵容名单、近期赛果等 Green Source；建议升级为 deep-description,False
canada,Canada,加拿大,CONCACAF,A,thin-slice,True,0,0,0,thin,critical,无任何来源；path card 为薄切片占位,补充 FIFA 排名、阵容名单、近期赛果等 Green Source；建议升级为 deep-description,False
chile,Chile,智利,CONMEBOL,B,thin-slice,True,0,0,0,thin,critical,无任何来源；path card 为薄切片占位,补充 FIFA 排名、阵容名单、近期赛果等 Green Source；建议升级为 deep-description,False
colombia,Colombia,哥伦比亚,CONMEBOL,I,deep-description,True,1,1,1,partial,high,无实质性 Green Source（仅 generic label ['public-football-knowledge']），实际依赖 Yellow/Red,补充 FIFA 官方排名、近期大赛赛果、阵容名单等 Green Source,False
