agent_id,faction,persona,champion,top3,confidence,reason,source_file
data_01_1,数据派,前德甲xG数据分析师,西班牙,西班牙|法国|英格兰,78,西班牙自2024年3月以来保持不败，FIFA世界排名第1，2024欧洲杯冠军，亚马尔2.33亿欧领衔的xG数据统治力被赔率低估。,wc2026_aggregation.json
data_01_2,数据派,Transfermarkt身价编辑,法国,法国|西班牙|葡萄牙,65,法国总身价14.8亿欧全球最高，姆巴佩2亿欧领衔6名超1亿球员，纸面实力碾压任何对手。,wc2026_aggregation.json
data_01_3,数据派,Elo评级系统维护者,阿根廷,阿根廷|法国|西班牙,72,阿根廷历史Elo等级分深厚，2022冠军班底核心保留，大赛淘汰赛经验 invaluable。,wc2026_aggregation.json
data_02_1,数据派,英超Opta分析师,西班牙,西班牙|法国|英格兰,78,西班牙进攻三区传球成功率欧洲最高，亚马尔+佩德里+祖比门迪的技术三角在高压下控球稳定性最佳。,wc2026_aggregation.json
data_02_2,数据派,前巴萨体育科学主管,英格兰,英格兰|法国|葡萄牙,70,英格兰13.1亿欧阵容拥有最深的轮换厚度，贝林厄姆+赖斯双核能支撑7场高强度比赛。,wc2026_aggregation.json
data_02_3,数据派,独立数据博主,挪威,挪威|西班牙|阿根廷,35,哈兰德2.33亿欧本赛季状态火热，厄德高伤愈回归，挪威预选双杀意大利证明防守硬度。,wc2026_aggregation.json
data_03_1,数据派,法国数据公司分析师,法国,法国|西班牙|英格兰,72,法国欧国联和预选赛表现稳定，德尚谢幕战13名新人带来额外动力，1.48亿欧阵容容错率最高。,wc2026_aggregation.json
data_03_2,数据派,前FIFA技术观察员,西班牙,西班牙|法国|阿根廷,78,西班牙传球网络完成率与战术执行力在所有强队中最稳定，FIFA排名第1实至名归。,wc2026_aggregation.json
data_03_3,数据派,德国数据极客,德国,德国|巴西|葡萄牙,65,德国定位球转化率在纳格尔斯曼体系下显著提升，穆西亚拉+维尔茨双核E组几乎零消耗。,wc2026_aggregation.json
data_04_1,数据派,南美数据分析师,阿根廷,阿根廷|巴西|法国,68,阿根廷解放者杯国脚在MLS和南美保持竞技状态，梅西出场管理科学，阿尔瓦雷斯1.05亿欧效率极高。,wc2026_aggregation.json
data_04_2,数据派,北欧数据顾问,法国,法国|西班牙|挪威,72,法国非洲裔球员占比高，对美国夏季湿热气候适应性优于北欧球员，德尚最后一届战意加成。,wc2026_aggregation.json
data_04_3,数据派,亚洲数据研究员,西班牙,西班牙|阿根廷|日本,65,日本三笘薰缺席削弱边路，西班牙阵容深度最佳，且亚马尔腿筋伤势恢复乐观。,wc2026_aggregation.json
data_05_1,数据派,前EA Sports数据师,法国,法国|英格兰|西班牙,72,FIFA游戏综合能力值法国平均最高，姆巴佩91总评领衔，纸面能力值 translate 到真实胜率约19.2%。,data_05_predictions.json
data_05_2,数据派,意大利足球记者,西班牙,西班牙|法国|葡萄牙,78,西班牙自2024年3月不败的防守组织力被赔率低估，零封率在欧洲杯期间高达67%。,data_05_predictions.json
data_05_3,数据派,美国大学体育教授,英格兰,英格兰|西班牙|德国,63,XGBoost四维度模型算出英格兰夺冠概率18.7%，被赔率13.3%低估，图赫尔效应未充分定价。,data_05_predictions.json
data_06_1,数据派,英超数据创始人,英格兰,英格兰|法国|西班牙,55,本赛季英超射手榜英格兰国脚大幅领先，联赛进球转化率28%优于其他联赛。,wc2026_aggregation.json
data_06_2,数据派,前皇马球探数据师,法国,法国|巴西|西班牙,60,姆巴佩+登贝莱1对1突破成功率欧洲前三，法国个体能力在淘汰赛单点爆破中价值最高。,wc2026_aggregation.json
